"siteID","date","Year","Month","Tmin","Tmax","Tavg","P"
"Rancho Harold","1962-12-01",1962,12,18,26,22,67.9000015258789
"Rincon 1000","1962-12-01",1962,12,17,26,21.5,50.7000007629395
"Rincon 1200","1962-12-01",1962,12,13,22,17.5,100
"Bosque Humedo","1963-01-01",1963,1,21,30,25.5,3.59999990463257
"Cacao Arenales","1963-01-01",1963,1,17,26,21.5,49.9000015258789
"Cacao Sendero Circular","1963-01-01",1963,1,17,26,21.5,49.9000015258789
"Gongora","1963-01-01",1963,1,18,27,22.5,21
"Maritza","1963-01-01",1963,1,17,26,21.5,49.9000015258789
"Naranjo Carbonal","1963-01-01",1963,1,21,31,26,1.79999995231628
"Pitilla","1963-01-01",1963,1,17,25,21,215.199996948242
"Rancho Harold","1963-01-01",1963,1,18,27,22.5,21
"Rincon 1000","1963-01-01",1963,1,17,26,21.5,15.1000003814697
"Rincon 1200","1963-01-01",1963,1,13,22,17.5,63.7999992370605
"Bosque Humedo","1963-02-01",1963,2,21,31,26,5.59999990463257
"Cacao Arenales","1963-02-01",1963,2,17,26,21.5,51.7999992370605
"Cacao Sendero Circular","1963-02-01",1963,2,17,26,21.5,51.7999992370605
"Gongora","1963-02-01",1963,2,18,28,23,27.2000007629395
"Maritza","1963-02-01",1963,2,17,26,21.5,51.7999992370605
"Naranjo Carbonal","1963-02-01",1963,2,22,32,27,5.59999990463257
"Pitilla","1963-02-01",1963,2,17,26,21.5,392.899993896484
"Rancho Harold","1963-02-01",1963,2,18,28,23,27.2000007629395
"Rincon 1000","1963-02-01",1963,2,17,27,22,31.6000003814697
"Rincon 1200","1963-02-01",1963,2,13,23,18,84.3000030517578
"Bosque Humedo","1963-03-01",1963,3,22,32,27,4.09999990463257
"Cacao Arenales","1963-03-01",1963,3,18,27,22.5,6.80000019073486
"Cacao Sendero Circular","1963-03-01",1963,3,18,27,22.5,6.80000019073486
"Gongora","1963-03-01",1963,3,19,29,24,4.5
"Maritza","1963-03-01",1963,3,18,27,22.5,6.80000019073486
"Naranjo Carbonal","1963-03-01",1963,3,22,33,27.5,1.20000004768372
"Pitilla","1963-03-01",1963,3,18,27,22.5,32.4000015258789
"Rancho Harold","1963-03-01",1963,3,19,29,24,4.5
"Rincon 1000","1963-03-01",1963,3,18,28,23,5.59999990463257
"Rincon 1200","1963-03-01",1963,3,14,24,19,12.1999998092651
"Bosque Humedo","1963-04-01",1963,4,21,32,26.5,60.2000007629395
"Cacao Arenales","1963-04-01",1963,4,18,27,22.5,83.4000015258789
"Cacao Sendero Circular","1963-04-01",1963,4,18,27,22.5,83.4000015258789
"Gongora","1963-04-01",1963,4,19,29,24,87.5999984741211
"Maritza","1963-04-01",1963,4,18,27,22.5,83.4000015258789
"Naranjo Carbonal","1963-04-01",1963,4,23,33,28,65.1999969482422
"Pitilla","1963-04-01",1963,4,18,27,22.5,86.6999969482422
"Rancho Harold","1963-04-01",1963,4,19,29,24,87.5999984741211
"Rincon 1000","1963-04-01",1963,4,18,28,23,91.5999984741211
"Rincon 1200","1963-04-01",1963,4,14,24,19,84.8000030517578
